@id	@lon	@lat	name
3792483413	15.4421161	47.0665908	Jakominiplatz
3792483414	15.4418497	47.0672441	Jakominiplatz
3792483415	15.4418041	47.0674639	Jakominiplatz
3792609520	15.4434772	47.0628772	Finanzamt
3792609521	15.4452952	47.0595532	Jakominigürtel/Messe
3792618922	15.4445469	47.0609172	Steyrergasse
3792667874	15.4472141	47.0560940	Fröhlichgasse/Messe
3792667937	15.4464711	47.0574270	Stadthalle
3792704707	15.4511052	47.0507729	Jauerburggasse
3792704708	15.4510460	47.0509094	Jauerburggasse
3792704709	15.4489914	47.0536355	Ostbahnhof
3792704710	15.4486986	47.0540811	Ostbahnhof
3792705978	15.4542805	47.0472915	Stadion Liebenau
3792705979	15.4534482	47.0477143	Stadion Liebenau
3792757583	15.4591242	47.0468019	Dr.-Lister-Gasse
3792757584	15.4625259	47.0423333	P+R Murpark
3796677871	15.4330480	47.0491082	Dornschneidergasse
3796677872	15.4330488	47.0495314	Dornschneidergasse
3796677874	15.4329691	47.0468893	Lauzilgasse
3796677875	15.4326017	47.0521516	Puchstraße
3796677876	15.4326432	47.0521553	Puchstraße
3796707817	15.4321602	47.0459292	Lauzilgasse
3796989565	15.4295976	47.0873607	Carnerigasse
3796989566	15.4294896	47.0875789	Carnerigasse
3796989567	15.4329801	47.0825248	Hasnerplatz/Pädagogische Hochschule
3796989568	15.4330142	47.0825351	Hasnerplatz/Pädagogische Hochschule
3796989569	15.4345209	47.0773605	Keplerbrücke
3796989570	15.4345595	47.0773618	Keplerbrücke
3796989571	15.4330614	47.0800776	Lange Gasse
3796989572	15.4329424	47.0803120	Lange Gasse
3796989573	15.4231526	47.0938645	Maut Andritz
3796989574	15.4231765	47.0938845	Maut Andritz
3796990161	15.4274497	47.0904417	Robert-Stolz-Gasse
3796990162	15.4274853	47.0904522	Robert-Stolz-Gasse
3796990163	15.4352663	47.0741232	Schloßbergbahn
3796990164	15.4348777	47.0746485	Schloßbergbahn
3796990165	15.4363700	47.0725998	Schloßbergplatz/Murinsel
3796990166	15.4362308	47.0727959	Schloßbergplatz/Murinsel
3796990167	15.4314131	47.0848277	Seniorenzentrum
3796990168	15.4312070	47.0850645	Seniorenzentrum
3797003117	15.4211070	47.0990590	Grazer Straße
4123992754	15.4333694	47.0574231	Karlauer Gürtel
4123992756	15.4330091	47.0574362	Karlauer Gürtel
4193598920	15.4333610	47.0574414	Karlauer Gürtel
4334411178	15.4690185	47.0820793	LKH Med Uni/Klinikum Nord
4334411179	15.4690550	47.0821231	LKH Med Uni/Klinikum Nord
4334411952	15.4676020	47.0795305	Sankt Leonhard/Klinikum Mitte
4334411954	15.4676275	47.0798088	Sankt Leonhard/Klinikum Mitte
