@id	@lon	@lat	name	website
1330600274	15.3841316	47.0310096		
1330600277	15.3841095	47.0310311		
1330600281	15.3841577	47.0311801		
1330600283	15.3840810	47.0311437		
1330600288	15.3839170	47.0310932		
1330600296	15.3839069	47.0311031		
1330600298	15.3840623	47.0311619		
1330600301	15.3840552	47.0309732		
1330600313	15.3842445	47.0310953		
1330600317	15.3840000	47.0310109		
1330600327	15.3839455	47.0309850		
1330600329	15.3840008	47.0311327		
1330600340	15.3840322	47.0309957		
1330600364	15.3838617	47.0310669		
1330600402	15.3840210	47.0309904		
1337999319	15.4132432	47.0707108	Wokkim	
1346360693	15.4402642	47.0741271	Condor	http://www.condor-graz.at/
1346360695	15.4316554	47.0755993		
1349426831	15.3981660	47.0984569		
1354803877	15.4448064	47.0719769		
1354803881	15.4446860	47.0720109		
1354803883	15.4447066	47.0719769		
1354803885	15.4447565	47.0720589		
1354803887	15.4447565	47.0719628		
1354803889	15.4447066	47.0720448		
1354803896	15.4448064	47.0720448		
1354803898	15.4448270	47.0720109		
1363117547	15.4585040	47.0689511	Weinstube Vallant	
1363125010	15.4505472	47.0677907	TriBeKa	http://www.tribeka.at
1363125013	15.4474506	47.0652296	Unterm goldenen Dachl	
1363125014	15.4514616	47.0679749	Bio-Laden Matzer	http://www.bio-laden.at
1363128984	15.4472277	47.0687778	Kitchen 12	http://www.kitchen12.at
1363128986	15.4467617	47.0678663	Sägewerk Klassik	
1363128988	15.4468417	47.0689603	Galerie Stehcafe	
1363132392	15.4413546	47.0725301	elenors	www.elenors.at
1363132399	15.4399405	47.0724418	Peppino im Hofkeller	
1363132401	15.4401633	47.0710168	Hoppala	
1363478707	15.4301414	47.0748052	Lendplatzl	
1363478713	15.4309354	47.0729711	Marschallhof	
1363478714	15.4309407	47.0729291	Stern	
1363478715	15.4333601	47.0710165	Koko	
1363478720	15.4313860	47.0748856	Miran Schaweder	http://www.falter.at/web/wwei/detail/6544/fisch-imbiss-miran-schaweder
1363478726	15.4320431	47.0746116	Santa Lucia	
